Date,Open,High,Low,Close,Volume
2021-03-17,1574.78,1589.47,1562.11,1562.11,2854913868
2021-03-18,1567.79,1574.56,1548.24,1550.93,3571672941
2021-03-19,1548.53,1553.93,1511.29,1528.99,3191601509
2021-03-22,1491.99,1491.99,1378.56,1379.25,1956226810
2021-03-23,1335.76,1402.99,1256.32,1377.43,5739708935
2021-03-24,1377.37,1421.93,1371.72,1413.86,4122592259
2021-03-25,1416.99,1432.62,1394.19,1394.36,3506861687
2021-03-26,1409.2,1412.35,1359.15,1382.15,2953052324
2021-03-29,1385.74,1398.89,1382.47,1392.57,2666302416
2021-03-30,1392.84,1400.77,1371.43,1395.79,3348091430
2021-03-31,1397.47,1403.75,1389.86,1391.73,2389183217
2021-04-01,1399.34,1426.56,1399.34,1426.56,3171634665
2021-04-02,1434.91,1438.88,1423.51,1430.19,2193425193
2021-04-05,1428.99,1443.02,1428.88,1442.06,2562662089
2021-04-06,1442.88,1445.13,1419.66,1420.59,2647194891
2021-04-07,1420.94,1422.48,1402.36,1417.89,2778656360
2021-04-08,1422.22,1430.34,1415.06,1416.55,2096631664
2021-04-09,1413.18,1414.95,1373.65,1393.24,2874952015
2021-04-12,1393.47,1398.12,1374.67,1375.91,2304203961
2021-04-13,1380.11,1386.36,1352.74,1378.37,2863563667
2021-04-14,1380.71,1409.19,1380.71,1409.19,2625140569
2021-04-15,1409.76,1418.52,1398.28,1407.76,4190463324
2021-04-16,1405.5,1412.56,1400.49,1408.14,2315175662
2021-04-19,1409.85,1416.03,1377.23,1377.23,2490437860
2021-04-20,1376.37,1385.88,1357.26,1365.27,2563178681
2021-04-21,1363.87,1365.5,1308.52,1330.48,2306410735
2021-04-22,1320.16,1345.5,1309.23,1345.15,2092726692
2021-04-26,1343.85,1374,1343.58,1374,1948162918
2021-04-27,1381.73,1397.61,1381.73,1392,1868473840
2021-04-28,1391.47,1394.64,1379.93,1385.91,1688653117
2021-04-29,1390.92,1406.51,1390.92,1401.52,1549958027
2021-04-30,1399.05,1405.91,1396.49,1397.82,1838903629
2021-05-03,1400.15,1421.15,1400.15,1421.15,1946216092
2021-05-04,1423.21,1428.07,1411,1416.25,2277662739
2021-05-05,1419.58,1425.04,1409.33,1420,1787262479
2021-05-06,1422.56,1434.72,1422.56,1427.73,2291622097
2021-05-07,1432.25,1444.79,1423.39,1441.33,4002061819
2021-05-10,1448.99,1462.47,1447.91,1460.9,2494390451
2021-05-11,1447.96,1455.89,1438.38,1444.87,2484579060
2021-05-12,1441.41,1444.98,1437.66,1441.33,922312240
2021-05-17,1446.96,1455.48,1445.61,1454.25,1993605262
2021-05-18,1461.15,1465.56,1459.57,1459.57,2164820677
2021-05-20,1451.87,1454.81,1439.36,1449.82,2326522282
2021-05-21,1456.44,1462.28,1449.28,1451.84,1965520762
2021-05-24,1453.69,1457.77,1441.7,1452.18,2019625149
2021-05-25,1457.48,1459.26,1400.22,1400.22,3335779461
2021-05-26,1413.12,1427.06,1392.87,1427.06,2647966980
2021-05-27,1426.55,1428.87,1411.46,1415.03,2540002922
2021-05-28,1413.12,1422.8,1401.25,1422.06,2097371679
2021-05-31,1423.09,1427.44,1414.32,1420.49,2036537257
2021-06-01,1424.47,1433.55,1423,1432.04,2077004560
