Date,Open,High,Low,Close,Volume
2021-03-24,3919.93,3942.08,3889.07,3889.14,2414378604
2021-03-25,3879.34,3919.54,3853.5,3909.52,2385059895
2021-03-26,3917.12,3978.19,3917.12,3974.54,2655374920
2021-03-29,3969.31,3981.83,3943.25,3971.09,2418405500
2021-03-30,3963.34,3968.01,3944.35,3958.55,2134267391
2021-03-31,3967.25,3994.41,3966.98,3972.89,2420427567
2021-04-01,3992.78,4020.63,3992.78,4019.87,2178187603
2021-04-05,4034.44,4083.42,4034.44,4077.91,2241318486
2021-04-06,4075.57,4086.23,4068.14,4073.94,2147071522
2021-04-07,4074.29,4083.13,4068.31,4079.95,1963233249
2021-04-08,4089.95,4098.19,4082.54,4097.17,2011933177
2021-04-09,4096.11,4129.48,4095.51,4128.8,1880708120
2021-04-12,4124.71,4131.76,4114.82,4127.99,1923094540
2021-04-13,4130.1,4148,4124.43,4141.59,2060718961
2021-04-14,4141.58,4151.69,4120.87,4124.66,2092018943
2021-04-15,4139.76,4173.49,4139.76,4170.42,2130933628
2021-04-16,4174.14,4191.31,4170.75,4185.47,2205786949
2021-04-19,4179.8,4180.81,4150.47,4163.26,1999877307
2021-04-20,4159.18,4159.18,4118.38,4134.94,2292083378
2021-04-21,4128.42,4175.02,4126.35,4173.42,2126513143
2021-04-22,4170.46,4179.57,4123.69,4134.98,2392241341
2021-04-23,4138.78,4194.17,4138.78,4180.17,2008642236
2021-04-26,4185.03,4194.19,4182.36,4187.62,1937952599
2021-04-27,4188.25,4193.35,4176.22,4186.72,2034702320
2021-04-28,4185.14,4201.53,4181.78,4183.18,2145349329
2021-04-29,4206.14,4218.78,4176.81,4211.47,2502878449
2021-04-30,4198.1,4198.1,4174.85,4181.17,2428162998
2021-05-03,4191.98,4209.39,4188.03,4192.66,2182103434
2021-05-04,4179.04,4179.04,4128.59,4164.66,2552420121
2021-05-05,4177.06,4187.72,4160.94,4167.59,1769152889
2021-05-06,4169.14,4202.7,4147.33,4201.62,2239080813
2021-05-07,4210.34,4238.04,4201.64,4232.6,2048519190
2021-05-10,4228.29,4236.39,4188.13,4188.43,2320014566
2021-05-11,4150.34,4162.04,4111.53,4152.1,2432749321
2021-05-12,4130.55,4134.73,4056.88,4063.04,2406683784
2021-05-13,4074.99,4131.58,4074.99,4112.5,2163353723
2021-05-14,4129.58,4183.13,4129.58,4173.85,1904970402
2021-05-17,4169.92,4171.92,4142.69,4163.29,2278897644
2021-05-18,4165.94,4169.15,4125.99,4127.83,2324677838
2021-05-19,4098.45,4116.93,4061.41,4115.68,2414067271
2021-05-20,4121.97,4172.8,4121.97,4159.12,2159532191
2021-05-21,4168.61,4188.72,4151.72,4155.86,2196798084
2021-05-24,4170.16,4209.52,4170.16,4197.05,1848676717
2021-05-25,4205.94,4213.42,4182.52,4188.13,2117333013
2021-05-26,4191.59,4202.61,4184.11,4195.99,2087338274
2021-05-27,4201.94,4213.38,4197.78,4200.88,3407781249
2021-05-28,4210.77,4218.36,4203.57,4204.11,1958464949
2021-06-01,4216.52,4234.12,4197.59,4202.04,2096973335
2021-06-02,4206.82,4217.37,4198.27,4208.12,2028836814
2021-06-03,4191.43,4204.39,4167.93,4192.85,2194432214
2021-06-04,4206.05,4233.45,4206.05,4229.89,1872715862
2021-06-07,4229.34,4232.34,4215.66,4226.52,1745172301
2021-06-08,4233.81,4236.74,4208.41,4227.26,2109263760
2021-06-09,4232.99,4237.09,4218.74,4219.55,1792953976
2021-06-10,4228.56,4249.74,4220.34,4239.18,1949114428
2021-06-11,4242.9,4248.38,4232.25,4247.44,1679469973
2021-06-14,4248.31,4255.59,4234.07,4255.15,1846240506
2021-06-15,4255.28,4257.16,4238.35,4246.59,1830754386
2021-06-16,4248.87,4251.89,4202.45,4223.7,2220452064
2021-06-17,4220.37,4232.29,4196.05,4221.86,2583091087
2021-06-18,4204.78,4204.78,4164.4,4166.45,3608789593
2021-06-21,4173.4,4226.24,4173.4,4224.79,2040521589
2021-06-22,4224.61,4255.84,4217.27,4246.44,1786553582
2021-06-23,4249.27,4256.6,4241.43,4241.84,1771820909
2021-06-24,4256.97,4271.28,4256.97,4266.49,1871426376
2021-06-25,4274.45,4286.12,4271.16,4280.7,2751790926
2021-06-28,4284.9,4292.14,4274.67,4290.61,1992399601
2021-06-29,4293.21,4300.52,4287.04,4291.8,1830630923
2021-06-30,4290.65,4302.43,4287.96,4297.5,1949896699
2021-07-01,4300.73,4320.66,4300.73,4319.94,1803458464
2021-07-02,4326.6,4355.43,4326.6,4352.34,1535619737
2021-07-06,4356.46,4356.46,4314.37,4343.54,2075709900
2021-07-07,4351.01,4361.88,4329.79,4358.13,1932877201
2021-07-08,4321.07,4330.88,4289.37,4320.82,2063982824
2021-07-09,4329.38,4371.6,4329.38,4369.55,1791690914
2021-07-12,4372.41,4386.68,4364.03,4384.63,1707501002
2021-07-13,4381.07,4392.37,4366.92,4369.21,1764023047
